ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_17_R1_2013_wav--3.midi

<meta message set_tempo tempo=500000 time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message end_of_track time=1>


<meta message track_name name='7.7.13 Group 2' time=0>
<message program_change channel=0 program=0 time=0>
<message control_change channel=0 control=64 value=0 time=0>
<message control_change channel=0 control=67 value=0 time=0>
<message note_on channel=0 note=84 velocity=54 time=764>
<message note_on channel=0 note=84 velocity=0 time=39>
<message note_on channel=0 note=86 velocity=68 time=13>
<message note_on channel=0 note=86 velocity=0 time=31>
<message note_on channel=0 note=84 velocity=62 time=32>
<message note_on channel=0 note=84 velocity=0 time=17>
<message note_on channel=0 note=86 velocity=85 time=8>
<message note_on channel=0 note=86 velocity=0 time=25>
<message note_on channel=0 note=84 velocity=55 time=18>
<message note_on channel=0 note=84 velocity=0 time=21>
<message note_on channel=0 note=86 velocity=75 time=9>
<message note_on channel=0 note=86 velocity=0 time=27>
<message note_on channel=0 note=84 velocity=45 time=24>
<message note_on channel=0 note=83 velocity=81 time=24>
<message note_on channel=0 note=84 velocity=0 time=2>
<message note_on channel=0 note=83 velocity=0 time=24>
<message note_on channel=0 note=84 velocity=77 time=8>
<message note_on channel=0 note=84 velocity=0 time=22>
<message note_on channel=0 note=48 velocity=65 time=19>
<message note_on channel=0 note=41 velocity=60 time=1>
<message note_on channel=0 note=93 velocity=76 time=14>
<message note_on channel=0 note=91 velocity=59 time=48>
<message note_on channel=0 note=93 velocity=0 time=13>
<message note_on channel=0 note=89 velocity=73 time=48>
<message note_on channel=0 note=91 velocity=0 time=3>
<message note_on channel=0 note=89 velocity=0 time=30>
<message note_on channel=0 note=84 velocity=76 time=9>
<message note_on channel=0 note=84 velocity=0 time=24>
<message control_change channel=0 control=64 value=41 time=20>
<message note_on channel=0 note=48 velocity=0 time=5>
<message control_change channel=0 control=64 value=51 time=10>
<message note_on channel=0 note=41 velocity=0 time=0>
<message note_on channel=0 note=81 velocity=72 time=11>
<message control_change channel=0 control=64 value=60 time=4>
<message note_on channel=0 note=83 velocity=54 time=1>
<message control_change channel=0 control=64 value=66 time=14>
<message note_on channel=0 note=83 velocity=0 time=8>
<message control_change channel=0 control=64 value=70 time=7>
<message note_on channel=0 note=81 velocity=0 time=13>
<message control_change channel=0 control=64 value=74 time=3>
<message note_on channel=0 note=79 velocity=72 time=5>
<message control_change channel=0 control=64 value=75 time=10>
<message control_change channel=0 control=64 value=75 time=15>
<message control_change channel=0 control=64 value=76 time=15>
<message note_on channel=0 note=79 velocity=0 time=9>
<message note_on channel=0 note=77 velocity=73 time=3>
<message control_change channel=0 control=64 value=76 time=3>
